user_id,last_interaction,total_balance,days_since,status
USER_0070,2026-06-10 13:26:49.610962,1062,9,Healthy Idle
USER_0071,2026-06-15 13:26:49.610975,491,4,Healthy Idle
USER_0072,2026-06-02 13:26:49.610996,223,17,At-Risk
USER_0073,2026-06-09 13:26:49.611009,340,10,Healthy Idle
USER_0074,2026-06-19 13:26:49.611056,3004,0,Healthy Idle
USER_0075,2026-06-19 13:26:49.611148,873,0,Healthy Idle
USER_0076,2026-05-25 13:26:49.611186,768,25,At-Risk
USER_0077,2026-06-17 13:26:49.611210,495,2,Healthy Idle
USER_0078,2026-06-08 13:26:49.611222,683,11,Healthy Idle
USER_0079,2026-05-04 13:26:49.611252,1505,46,High-Risk Stagnant
USER_0080,2026-05-13 13:26:49.611300,781,37,High-Risk Stagnant
USER_0081,2026-05-13 13:26:49.611340,1209,37,High-Risk Stagnant
USER_0082,2026-06-16 13:26:49.611378,1706,3,Healthy Idle
USER_0083,2026-05-28 13:26:49.611461,1459,22,At-Risk
USER_0084,2026-06-16 13:26:49.611500,1330,3,Healthy Idle
USER_0085,2026-06-15 13:26:49.611598,1904,4,Healthy Idle
USER_0086,2026-06-19 13:26:49.611716,2285,0,Healthy Idle
USER_0087,2026-06-13 13:26:49.611791,1065,6,Healthy Idle
USER_0088,2026-06-05 13:26:49.611821,417,14,Healthy Idle
USER_0089,2026-06-03 13:26:49.611881,2029,16,At-Risk
USER_0090,2026-06-12 13:26:49.611928,456,7,Healthy Idle
USER_0091,2026-03-29 13:26:49.611940,41,82,High-Risk Stagnant
USER_0092,2026-06-16 13:26:49.612023,2659,3,Healthy Idle
USER_0093,2026-06-17 13:26:49.612044,1500,2,Healthy Idle
USER_0094,2026-06-12 13:26:49.612134,785,7,Healthy Idle
USER_0095,2026-06-19 13:26:49.612207,862,0,Healthy Idle
USER_0096,2026-06-17 13:26:49.612245,1823,2,Healthy Idle
USER_0097,2026-06-18 13:26:49.612283,1462,1,Healthy Idle
USER_0098,2026-05-17 13:26:49.612386,1792,33,High-Risk Stagnant
USER_0099,2026-06-15 13:26:49.612477,1692,4,Healthy Idle
USER_0100,2026-06-06 13:26:49.612538,2349,13,Healthy Idle
USER_0101,2026-06-14 13:26:49.612628,1807,5,Healthy Idle
USER_0102,2026-05-24 13:26:49.612666,419,26,At-Risk
USER_0103,2026-06-15 13:26:49.612721,1003,4,Healthy Idle
USER_0104,2026-06-18 13:26:49.612802,2634,1,Healthy Idle
USER_0105,2026-06-09 13:26:49.612841,2223,10,Healthy Idle
USER_0106,2026-04-21 13:26:49.612922,650,59,High-Risk Stagnant
USER_0107,2026-06-11 13:26:49.612960,886,8,Healthy Idle
USER_0108,2026-06-19 13:26:49.613088,2130,0,Healthy Idle
USER_0109,2026-05-30 13:26:49.613120,1136,20,At-Risk
USER_0110,2026-06-18 13:26:49.613195,2629,1,Healthy Idle
USER_0111,2026-05-08 13:26:49.613226,442,42,High-Risk Stagnant
USER_0112,2026-05-26 13:26:49.613247,802,24,At-Risk
USER_0113,2026-05-29 13:26:49.613293,1456,21,At-Risk
USER_0114,2026-05-02 13:26:49.613331,1347,48,High-Risk Stagnant
USER_0115,2026-06-19 13:26:49.613371,2413,0,Healthy Idle
USER_0116,2026-06-19 13:26:49.613485,1948,0,Healthy Idle
USER_0117,2026-06-17 13:26:49.613505,2067,2,Healthy Idle
USER_0118,2026-06-12 13:26:49.613611,1917,7,Healthy Idle
USER_0119,2026-06-04 13:26:49.613654,2368,15,At-Risk
USER_0120,2026-06-19 13:26:49.613755,636,0,Healthy Idle
USER_0121,2026-06-18 13:26:49.613775,633,1,Healthy Idle
USER_0122,2026-06-11 13:26:49.613812,1745,8,Healthy Idle
USER_0123,2026-06-11 13:26:49.613884,1494,8,Healthy Idle
USER_0124,2026-05-25 13:26:49.613929,1166,25,At-Risk
USER_0125,2026-05-10 13:26:49.613978,462,40,High-Risk Stagnant
USER_0126,2026-06-03 13:26:49.613990,649,16,At-Risk
USER_0127,2026-06-10 13:26:49.614074,2842,9,Healthy Idle
USER_0128,2026-06-18 13:26:49.614112,1776,1,Healthy Idle
USER_0129,2026-05-31 13:26:49.614229,1903,19,At-Risk
USER_0130,2026-05-11 13:26:49.614267,216,39,High-Risk Stagnant
USER_0131,2026-03-23 13:26:49.614279,60,88,High-Risk Stagnant
USER_0132,2026-06-17 13:26:49.614311,2734,2,Healthy Idle
USER_0133,2026-06-12 13:26:49.614400,2187,7,Healthy Idle
USER_0134,2026-06-05 13:26:49.614455,325,14,Healthy Idle
USER_0135,2026-06-13 13:26:49.614536,2480,6,Healthy Idle
USER_0136,2026-04-22 13:26:49.614557,436,58,High-Risk Stagnant
USER_0137,2026-06-03 13:26:49.614595,1088,16,At-Risk
USER_0138,2026-06-17 13:26:49.614624,1015,2,Healthy Idle
USER_0139,2026-06-16 13:26:49.614662,2164,3,Healthy Idle
USER_0140,2026-06-07 13:26:49.614734,2051,12,Healthy Idle
USER_0141,2026-06-10 13:26:49.614801,2713,9,Healthy Idle
USER_0142,2026-06-08 13:26:49.614929,2431,11,Healthy Idle
USER_0143,2026-05-31 13:26:49.615018,1828,19,At-Risk
USER_0144,2026-06-17 13:26:49.615064,942,2,Healthy Idle
USER_0145,2026-06-11 13:26:49.615102,1075,8,Healthy Idle
USER_0146,2026-06-17 13:26:49.615157,2018,2,Healthy Idle
USER_0147,2026-06-11 13:26:49.615237,856,8,Healthy Idle
USER_0148,2026-06-15 13:26:49.615292,1724,4,Healthy Idle
USER_0149,2026-05-11 13:26:49.615329,1089,39,High-Risk Stagnant
USER_0150,2026-05-11 13:26:49.615367,582,39,High-Risk Stagnant
USER_0151,2026-06-14 13:26:49.615388,215,5,Healthy Idle
USER_0152,2026-05-03 13:26:49.615417,393,47,High-Risk Stagnant
USER_0153,2026-06-13 13:26:49.615454,1889,6,Healthy Idle
USER_0154,2026-06-18 13:26:49.615520,1436,1,Healthy Idle
USER_0155,2026-06-03 13:26:49.615577,3562,16,At-Risk
USER_0156,2026-06-08 13:26:49.615698,1185,11,Healthy Idle
USER_0157,2026-06-10 13:26:49.615710,373,9,Healthy Idle
USER_0158,2026-05-29 13:26:49.615724,473,21,At-Risk
USER_0159,2026-06-06 13:26:49.615745,1856,13,Healthy Idle
USER_0160,2026-05-05 13:26:49.615829,307,45,High-Risk Stagnant
USER_0161,2026-06-07 13:26:49.615850,1012,12,Healthy Idle
USER_0162,2026-05-19 13:26:49.615880,637,31,High-Risk Stagnant
USER_0163,2026-05-30 13:26:49.615934,774,20,At-Risk
USER_0164,2026-06-17 13:26:49.615972,1316,2,Healthy Idle
USER_0165,2026-06-08 13:26:49.616027,1862,11,Healthy Idle
USER_0166,2026-05-05 13:26:49.616084,1491,45,High-Risk Stagnant
USER_0167,2026-06-18 13:26:49.616200,2864,1,Healthy Idle
USER_0168,2026-06-09 13:26:49.616263,1980,10,Healthy Idle
USER_0169,2026-06-09 13:26:49.616293,1626,10,Healthy Idle
USER_0170,2026-06-18 13:26:49.616376,1371,1,Healthy Idle
USER_0171,2026-04-04 13:26:49.616396,115,76,High-Risk Stagnant
USER_0172,2026-06-14 13:26:49.616477,1783,5,Healthy Idle
USER_0173,2026-04-09 13:26:49.616506,440,71,High-Risk Stagnant
USER_0174,2026-06-16 13:26:49.616544,1164,3,Healthy Idle
USER_0175,2026-06-17 13:26:49.616565,1913,2,Healthy Idle
USER_0176,2026-05-19 13:26:49.616656,1830,31,High-Risk Stagnant
USER_0177,2026-05-23 13:26:49.616714,1091,27,At-Risk
USER_0178,2026-06-13 13:26:49.616743,331,6,Healthy Idle
USER_0179,2026-03-27 13:26:49.616755,158,84,High-Risk Stagnant
USER_0180,2026-06-16 13:26:49.616787,2756,3,Healthy Idle
USER_0181,2026-06-08 13:26:49.616868,1946,11,Healthy Idle
USER_0182,2026-06-18 13:26:49.616974,2098,1,Healthy Idle
USER_0183,2026-06-19 13:26:49.617089,1824,0,Healthy Idle
USER_0184,2026-06-12 13:26:49.617101,516,7,Healthy Idle
USER_0185,2026-05-23 13:26:49.617177,2724,27,At-Risk
USER_0186,2026-06-19 13:26:49.617232,923,0,Healthy Idle
USER_0187,2026-04-30 13:26:49.617264,205,50,High-Risk Stagnant
USER_0188,2026-05-31 13:26:49.617276,2703,19,At-Risk
USER_0189,2026-06-15 13:26:49.617410,2189,4,Healthy Idle
USER_0190,2026-04-16 13:26:49.617431,736,64,High-Risk Stagnant
USER_0191,2026-06-01 13:26:49.617520,2319,18,At-Risk
USER_0192,2026-05-03 13:26:49.617541,1535,47,High-Risk Stagnant
USER_0193,2026-05-10 13:26:49.617587,88,40,High-Risk Stagnant
USER_0194,2026-06-16 13:26:49.617616,2294,3,Healthy Idle
USER_0195,2026-06-05 13:26:49.617702,1397,14,Healthy Idle
USER_0196,2026-05-16 13:26:49.617731,427,34,High-Risk Stagnant
USER_0197,2026-06-11 13:26:49.617778,1416,8,Healthy Idle
USER_0198,2026-06-08 13:26:49.617824,2119,11,Healthy Idle
USER_0199,2026-06-05 13:26:49.617907,2179,14,Healthy Idle
USER_0200,2026-06-05 13:26:49.617928,737,14,Healthy Idle
USER_0201,2026-04-13 13:26:49.618017,875,67,High-Risk Stagnant
USER_0202,2026-06-12 13:26:49.618056,1239,7,Healthy Idle
USER_0203,2026-06-18 13:26:49.618076,563,1,Healthy Idle
USER_0204,2026-06-07 13:26:49.618123,2832,12,Healthy Idle
USER_0205,2026-06-07 13:26:49.618224,2202,12,Healthy Idle
USER_0206,2026-06-05 13:26:49.618262,1142,14,Healthy Idle
USER_0207,2026-06-02 13:26:49.618343,2218,17,At-Risk
USER_0208,2026-06-09 13:26:49.618683,1155,10,Healthy Idle
USER_0209,2026-06-13 13:26:49.618730,2565,6,Healthy Idle
USER_0210,2026-06-01 13:26:49.618789,1616,18,At-Risk
USER_0211,2026-04-11 13:26:49.618852,424,69,High-Risk Stagnant
USER_0212,2026-06-18 13:26:49.618881,1924,1,Healthy Idle
USER_0213,2026-05-07 13:26:49.618927,963,43,High-Risk Stagnant
USER_0214,2026-06-18 13:26:49.618965,272,1,Healthy Idle
USER_0215,2026-05-16 13:26:49.618977,353,34,High-Risk Stagnant
USER_0216,2026-06-12 13:26:49.618997,2142,7,Healthy Idle
USER_0217,2026-06-17 13:26:49.619097,2875,2,Healthy Idle
USER_0218,2026-06-04 13:26:49.619177,1767,15,At-Risk
USER_0219,2026-06-06 13:26:49.619190,1791,13,Healthy Idle
USER_0220,2026-06-14 13:26:49.619274,1329,5,Healthy Idle
USER_0221,2026-06-08 13:26:49.619320,1107,11,Healthy Idle
USER_0222,2026-06-18 13:26:49.619420,1870,1,Healthy Idle
USER_0223,2026-04-03 13:26:49.619432,530,77,High-Risk Stagnant
USER_0224,2026-06-12 13:26:49.619530,3031,7,Healthy Idle
USER_0225,2026-04-13 13:26:49.619542,91,67,High-Risk Stagnant
USER_0226,2026-06-14 13:26:49.619580,1334,5,Healthy Idle
USER_0227,2026-04-21 13:26:49.619600,436,59,High-Risk Stagnant
USER_0228,2026-06-15 13:26:49.619621,860,4,Healthy Idle
USER_0229,2026-05-20 13:26:49.619666,511,30,At-Risk
USER_0230,2026-06-16 13:26:49.619730,1770,3,Healthy Idle
USER_0231,2026-05-13 13:26:49.619768,992,37,High-Risk Stagnant
USER_0232,2026-06-13 13:26:49.619797,395,6,Healthy Idle
USER_0233,2026-06-18 13:26:49.619835,1481,1,Healthy Idle
USER_0234,2026-06-15 13:26:49.619947,1804,4,Healthy Idle
USER_0235,2026-04-29 13:26:49.620031,1053,51,High-Risk Stagnant
USER_0236,2026-06-07 13:26:49.620097,1083,12,Healthy Idle
USER_0237,2026-06-19 13:26:49.620126,1925,0,Healthy Idle
USER_0238,2026-06-12 13:26:49.620193,641,7,Healthy Idle
USER_0239,2026-04-02 13:26:49.620214,400,78,High-Risk Stagnant
USER_0240,2026-06-12 13:26:49.620260,1555,7,Healthy Idle
USER_0241,2026-06-15 13:26:49.620307,645,4,Healthy Idle
USER_0242,2026-06-13 13:26:49.620345,1607,6,Healthy Idle
USER_0243,2026-06-15 13:26:49.620366,2701,4,Healthy Idle
USER_0244,2026-06-18 13:26:49.620490,2326,1,Healthy Idle
USER_0245,2026-06-09 13:26:49.620537,281,10,Healthy Idle
USER_0246,2026-06-02 13:26:49.620557,2351,17,At-Risk
USER_0247,2026-05-30 13:26:49.620630,482,20,At-Risk
USER_0248,2026-06-13 13:26:49.620705,2342,6,Healthy Idle
USER_0249,2026-05-29 13:26:49.620735,2613,21,At-Risk
USER_0250,2026-06-01 13:26:49.620854,942,18,At-Risk
USER_0251,2026-06-15 13:26:49.620909,1509,4,Healthy Idle
USER_0252,2026-05-30 13:26:49.620947,392,20,At-Risk
USER_0253,2026-06-07 13:26:49.620979,1438,12,Healthy Idle
USER_0254,2026-06-16 13:26:49.621078,1628,3,Healthy Idle
USER_0255,2026-06-16 13:26:49.621133,1826,3,Healthy Idle
USER_0256,2026-06-16 13:26:49.621438,1453,3,Healthy Idle
USER_0257,2026-06-01 13:26:49.621495,217,18,At-Risk
USER_0258,2026-05-27 13:26:49.621569,831,23,At-Risk
USER_0259,2026-06-03 13:26:49.621737,2387,16,At-Risk
USER_0260,2026-06-05 13:26:49.621790,987,14,Healthy Idle
USER_0261,2026-06-11 13:26:49.621827,1494,8,Healthy Idle
USER_0262,2026-05-09 13:26:49.621940,791,41,High-Risk Stagnant
USER_0263,2026-06-16 13:26:49.622055,595,3,Healthy Idle
USER_0264,2026-05-27 13:26:49.622107,1825,23,At-Risk
USER_0265,2026-05-27 13:26:49.622202,1432,23,At-Risk
USER_0266,2026-06-10 13:26:49.622300,1620,9,Healthy Idle
USER_0267,2026-04-25 13:26:49.622383,640,55,High-Risk Stagnant
USER_0268,2026-06-13 13:26:49.622450,69,6,Healthy Idle
USER_0269,2026-05-19 13:26:49.622472,394,31,High-Risk Stagnant
USER_0270,2026-06-06 13:26:49.622558,2041,13,Healthy Idle
USER_0271,2026-06-08 13:26:49.622689,1618,11,Healthy Idle
USER_0272,2026-04-13 13:26:49.622726,467,67,High-Risk Stagnant
USER_0273,2026-05-27 13:26:49.622778,1203,23,At-Risk
USER_0274,2026-04-11 13:26:49.622897,590,69,High-Risk Stagnant
USER_0275,2026-04-07 13:26:49.622920,340,73,High-Risk Stagnant
USER_0276,2026-06-18 13:26:49.622944,674,1,Healthy Idle
USER_0277,2026-06-10 13:26:49.623100,1308,9,Healthy Idle
USER_0278,2026-06-06 13:26:49.623289,1511,13,Healthy Idle
USER_0279,2026-06-17 13:26:49.623387,1888,2,Healthy Idle
USER_0280,2026-06-12 13:26:49.623502,2392,7,Healthy Idle
USER_0281,2026-06-18 13:26:49.623581,2409,1,Healthy Idle
USER_0282,2026-06-12 13:26:49.623631,100,7,Healthy Idle
USER_0283,2026-06-16 13:26:49.623643,1185,3,Healthy Idle
USER_0284,2026-06-16 13:26:49.623725,1535,3,Healthy Idle
USER_0285,2026-06-17 13:26:49.623756,2694,2,Healthy Idle
USER_0286,2026-06-09 13:26:49.623868,2671,10,Healthy Idle
USER_0287,2026-03-27 13:26:49.623952,162,84,High-Risk Stagnant
USER_0288,2026-05-17 13:26:49.623965,1223,33,High-Risk Stagnant
USER_0289,2026-06-09 13:26:49.624030,2125,10,Healthy Idle
USER_0290,2026-05-11 13:26:49.624080,729,39,High-Risk Stagnant
USER_0291,2026-06-19 13:26:49.624113,1714,0,Healthy Idle
USER_0292,2026-06-06 13:26:49.624224,1716,13,Healthy Idle
USER_0293,2026-06-14 13:26:49.624272,1502,5,Healthy Idle
USER_0294,2026-05-26 13:26:49.624348,1459,24,At-Risk
USER_0295,2026-06-06 13:26:49.624361,1704,13,Healthy Idle
USER_0296,2026-06-06 13:26:49.624507,2326,13,Healthy Idle
USER_0297,2026-06-12 13:26:49.624546,1428,7,Healthy Idle
USER_0298,2026-06-09 13:26:49.624606,1704,10,Healthy Idle
USER_0299,2026-05-18 13:26:49.624654,1278,32,High-Risk Stagnant
USER_0300,2026-06-01 13:26:49.624750,1513,18,At-Risk
USER_0301,2026-06-16 13:26:49.624797,1675,3,Healthy Idle
USER_0302,2026-06-19 13:26:49.624888,2017,0,Healthy Idle
USER_0303,2026-06-14 13:26:49.624941,1811,5,Healthy Idle
USER_0304,2026-05-16 13:26:49.624991,3081,34,High-Risk Stagnant
USER_0305,2026-06-11 13:26:49.625093,1324,8,Healthy Idle
USER_0306,2026-06-03 13:26:49.625114,2337,16,At-Risk
USER_0307,2026-05-11 13:26:49.625200,107,39,High-Risk Stagnant
USER_0308,2026-06-08 13:26:49.625229,959,11,Healthy Idle
USER_0309,2026-05-06 13:26:49.625244,89,44,High-Risk Stagnant
USER_0310,2026-05-26 13:26:49.625265,1912,24,At-Risk
USER_0311,2026-05-18 13:26:49.625329,449,32,High-Risk Stagnant
USER_0312,2026-06-01 13:26:49.625350,1257,18,At-Risk
USER_0313,2026-04-05 13:26:49.625379,377,75,High-Risk Stagnant
USER_0314,2026-06-05 13:26:49.625392,581,14,Healthy Idle
USER_0315,2026-06-17 13:26:49.625484,2010,2,Healthy Idle
USER_0316,2026-06-18 13:26:49.625506,1508,1,Healthy Idle
USER_0317,2026-05-06 13:26:49.625579,1128,44,High-Risk Stagnant
USER_0318,2026-05-27 13:26:49.625618,1001,23,At-Risk
USER_0319,2026-05-15 13:26:49.625647,472,35,High-Risk Stagnant
USER_0320,2026-05-28 13:26:49.625720,2391,22,At-Risk
USER_0321,2026-05-18 13:26:49.625751,1597,32,High-Risk Stagnant
USER_0322,2026-05-04 13:26:49.625807,147,46,High-Risk Stagnant
USER_0323,2026-05-22 13:26:49.625823,1028,28,At-Risk
USER_0324,2026-05-13 13:26:49.625875,63,37,High-Risk Stagnant
USER_0325,2026-06-16 13:26:49.625937,877,3,Healthy Idle
USER_0326,2026-04-12 13:26:49.625949,855,68,High-Risk Stagnant
USER_0327,2026-06-16 13:26:49.625979,626,3,Healthy Idle
USER_0328,2026-06-14 13:26:49.626018,1931,5,Healthy Idle
USER_0329,2026-06-14 13:26:49.626065,987,5,Healthy Idle
USER_0330,2026-06-03 13:26:49.626104,735,16,At-Risk
USER_0331,2026-03-26 13:26:49.626152,742,85,High-Risk Stagnant
USER_0332,2026-05-19 13:26:49.626181,710,31,High-Risk Stagnant
USER_0333,2026-03-27 13:26:49.626202,429,84,High-Risk Stagnant
USER_0334,2026-06-19 13:26:49.626237,1116,0,Healthy Idle
USER_0335,2026-06-09 13:26:49.626267,755,10,Healthy Idle
USER_0336,2026-05-27 13:26:49.626306,600,23,At-Risk
USER_0337,2026-05-23 13:26:49.626335,497,27,At-Risk
USER_0338,2026-05-15 13:26:49.626348,373,35,High-Risk Stagnant
USER_0339,2026-06-09 13:26:49.626372,445,10,Healthy Idle
USER_0340,2026-06-15 13:26:49.626411,1328,4,Healthy Idle
USER_0341,2026-06-01 13:26:49.626451,153,18,At-Risk
USER_0342,2026-05-28 13:26:49.626517,1211,22,At-Risk
USER_0343,2026-06-16 13:26:49.626604,2372,3,Healthy Idle
USER_0344,2026-04-09 13:26:49.626676,146,71,High-Risk Stagnant
USER_0345,2026-05-29 13:26:49.626732,1694,21,At-Risk
USER_0346,2026-05-30 13:26:49.626774,1841,20,At-Risk
USER_0347,2026-05-04 13:26:49.626821,668,46,High-Risk Stagnant
USER_0348,2026-06-13 13:26:49.626851,376,6,Healthy Idle
USER_0349,2026-05-15 13:26:49.626863,24,35,High-Risk Stagnant
USER_0350,2026-06-19 13:26:49.626876,1179,0,Healthy Idle
USER_0351,2026-05-15 13:26:49.626931,34,35,High-Risk Stagnant
USER_0352,2026-05-28 13:26:49.626955,367,22,At-Risk
USER_0353,2026-06-16 13:26:49.626984,874,3,Healthy Idle
USER_0354,2026-06-06 13:26:49.627035,1097,13,Healthy Idle
USER_0355,2026-06-04 13:26:49.627104,1593,15,At-Risk
USER_0356,2026-06-12 13:26:49.627160,2228,7,Healthy Idle
USER_0357,2026-06-01 13:26:49.627241,935,18,At-Risk
USER_0358,2026-06-16 13:26:49.627362,2416,3,Healthy Idle
USER_0359,2026-06-12 13:26:49.627375,2229,7,Healthy Idle
USER_0360,2026-05-25 13:26:49.627439,273,25,At-Risk
USER_0361,2026-05-13 13:26:49.627451,1530,37,High-Risk Stagnant
USER_0362,2026-06-01 13:26:49.627516,2138,18,At-Risk
USER_0363,2026-05-14 13:26:49.627590,1282,36,High-Risk Stagnant
USER_0364,2026-04-21 13:26:49.627620,474,59,High-Risk Stagnant
USER_0365,2026-06-09 13:26:49.627697,1757,10,Healthy Idle
USER_0366,2026-06-08 13:26:49.627744,1260,11,Healthy Idle
USER_0367,2026-06-07 13:26:49.627816,2458,12,Healthy Idle
USER_0368,2026-06-13 13:26:49.627903,1589,6,Healthy Idle
USER_0369,2026-06-07 13:26:49.627972,1990,12,Healthy Idle
USER_0370,2026-04-27 13:26:49.627985,137,53,High-Risk Stagnant
USER_0371,2026-05-27 13:26:49.628031,745,23,At-Risk
USER_0372,2026-06-17 13:26:49.628069,1648,2,Healthy Idle
USER_0373,2026-05-26 13:26:49.628107,2455,24,At-Risk
USER_0374,2026-06-14 13:26:49.628207,2016,5,Healthy Idle
USER_0375,2026-06-12 13:26:49.628301,1226,7,Healthy Idle
USER_0376,2026-06-16 13:26:49.628340,1468,3,Healthy Idle
USER_0377,2026-06-16 13:26:49.628396,2262,3,Healthy Idle
USER_0378,2026-06-10 13:26:49.628496,2180,9,Healthy Idle
USER_0379,2026-06-15 13:26:49.628616,1215,4,Healthy Idle
USER_0380,2026-05-24 13:26:49.628654,1053,26,At-Risk
USER_0381,2026-06-17 13:26:49.628727,2536,2,Healthy Idle
USER_0382,2026-03-31 13:26:49.628756,239,80,High-Risk Stagnant
USER_0383,2026-06-09 13:26:49.628769,841,10,Healthy Idle
USER_0384,2026-05-10 13:26:49.628797,1577,40,High-Risk Stagnant
USER_0385,2026-06-14 13:26:49.628892,1512,5,Healthy Idle
USER_0386,2026-06-03 13:26:49.628913,408,16,At-Risk
USER_0387,2026-06-12 13:26:49.628943,386,7,Healthy Idle
USER_0388,2026-06-12 13:26:49.628956,2322,7,Healthy Idle
USER_0389,2026-05-29 13:26:49.629075,1130,21,At-Risk
USER_0390,2026-06-11 13:26:49.629113,836,8,Healthy Idle
USER_0391,2026-06-19 13:26:49.629139,1410,0,Healthy Idle
USER_0392,2026-06-02 13:26:49.629204,172,17,At-Risk
USER_0393,2026-06-19 13:26:49.629242,673,0,Healthy Idle
USER_0394,2026-06-15 13:26:49.629289,2543,4,Healthy Idle
USER_0395,2026-06-01 13:26:49.629362,487,18,At-Risk
USER_0396,2026-06-15 13:26:49.629392,1699,4,Healthy Idle
USER_0397,2026-06-05 13:26:49.629456,1270,14,Healthy Idle
USER_0398,2026-06-19 13:26:49.629469,1108,0,Healthy Idle
USER_0399,2026-06-16 13:26:49.629518,3231,3,Healthy Idle
