user_id,last_interaction,total_stored_value,days_since_last_use,status
USER_0738,2026-06-15 15:10:01.062809,2768.0,4,Healthy Idle
USER_0058,2026-06-13 15:10:01.041104,2758.0,6,Healthy Idle
USER_0180,2026-06-16 15:10:01.045203,2756.0,3,Healthy Idle
USER_0515,2026-06-19 15:10:01.055544,2756.0,0,Healthy Idle
USER_0838,2026-06-12 15:10:01.065946,2751.0,7,Healthy Idle
USER_0407,2026-06-16 15:10:01.052469,2742.0,3,Healthy Idle
USER_0723,2026-06-07 15:10:01.062194,2737.0,12,Healthy Idle
USER_0440,2026-06-11 15:10:01.053509,2735.0,8,Healthy Idle
USER_0132,2026-06-17 15:10:01.043337,2734.0,2,Healthy Idle
USER_0902,2026-06-18 15:10:01.067966,2729.0,1,Healthy Idle
USER_0982,2026-06-08 15:10:01.070736,2729.0,11,Healthy Idle
USER_0601,2026-06-14 15:10:01.058119,2727.0,5,Healthy Idle
USER_0185,2026-05-23 15:10:01.045465,2724.0,27,At-Risk
USER_0141,2026-06-10 15:10:01.043621,2713.0,9,Healthy Idle
USER_0617,2026-06-04 15:10:01.058565,2708.0,15,At-Risk
USER_0188,2026-05-31 15:10:01.045528,2703.0,19,At-Risk
USER_0243,2026-06-15 15:10:01.047479,2701.0,4,Healthy Idle
USER_0533,2026-06-16 15:10:01.056156,2700.0,3,Healthy Idle
USER_0464,2026-06-12 15:10:01.054118,2696.0,7,Healthy Idle
USER_0285,2026-06-17 15:10:01.048858,2694.0,2,Healthy Idle
USER_0430,2026-06-18 15:10:01.053142,2685.0,1,Healthy Idle
USER_0029,2026-06-12 15:10:01.040239,2675.0,7,Healthy Idle
USER_0453,2026-06-17 15:10:01.053882,2672.0,2,Healthy Idle
USER_0012,2026-06-17 15:10:01.039720,2671.0,2,Healthy Idle
USER_0286,2026-06-09 15:10:01.048907,2671.0,10,Healthy Idle
USER_0092,2026-06-16 15:10:01.042065,2659.0,3,Healthy Idle
USER_0650,2026-06-11 15:10:01.059504,2646.0,8,Healthy Idle
USER_0104,2026-06-18 15:10:01.042527,2634.0,1,Healthy Idle
USER_0010,2026-06-19 15:10:01.039631,2630.0,0,Healthy Idle
USER_0110,2026-06-18 15:10:01.042716,2629.0,1,Healthy Idle
USER_0249,2026-05-29 15:10:01.047704,2613.0,21,At-Risk
USER_0726,2026-06-01 15:10:01.062390,2612.0,18,At-Risk
USER_0949,2026-06-17 15:10:01.069524,2611.0,2,Healthy Idle
USER_0521,2026-06-19 15:10:01.055759,2600.0,0,Healthy Idle
USER_0786,2026-06-18 15:10:01.064301,2600.0,1,Healthy Idle
USER_0483,2026-06-18 15:10:01.054734,2591.0,1,Healthy Idle
USER_0853,2026-06-01 15:10:01.066423,2590.0,18,At-Risk
USER_0936,2026-06-06 15:10:01.069079,2585.0,13,Healthy Idle
USER_0209,2026-06-13 15:10:01.046521,2565.0,6,Healthy Idle
USER_0625,2026-04-26 15:10:01.058872,2553.0,54,High-Risk Stagnant
USER_0974,2026-06-17 15:10:01.070491,2553.0,2,Healthy Idle
USER_0025,2026-06-18 15:10:01.040119,2551.0,1,Healthy Idle
USER_0394,2026-06-15 15:10:01.051993,2543.0,4,Healthy Idle
USER_0009,2026-06-05 15:10:01.039612,2542.0,14,Healthy Idle
USER_0381,2026-06-17 15:10:01.051676,2536.0,2,Healthy Idle
USER_0689,2026-06-12 15:10:01.060696,2528.0,7,Healthy Idle
USER_0712,2026-06-19 15:10:01.061759,2524.0,0,Healthy Idle
USER_0049,2026-06-18 15:10:01.040792,2517.0,1,Healthy Idle
USER_0957,2026-05-28 15:10:01.069812,2515.0,22,At-Risk
USER_0937,2026-06-17 15:10:01.069120,2509.0,2,Healthy Idle
USER_0874,2026-06-12 15:10:01.067016,2494.0,7,Healthy Idle
USER_0956,2026-06-19 15:10:01.069752,2493.0,0,Healthy Idle
USER_0418,2026-05-31 15:10:01.052804,2486.0,19,At-Risk
USER_0135,2026-06-13 15:10:01.043466,2480.0,6,Healthy Idle
USER_0735,2026-06-06 15:10:01.062733,2469.0,13,Healthy Idle
USER_0575,2026-05-25 15:10:01.057310,2464.0,25,At-Risk
USER_0367,2026-06-07 15:10:01.051136,2458.0,12,Healthy Idle
USER_0373,2026-05-26 15:10:01.051307,2455.0,24,At-Risk
USER_0052,2026-06-13 15:10:01.040884,2451.0,6,Healthy Idle
USER_0881,2026-06-09 15:10:01.067260,2449.0,10,Healthy Idle
USER_0142,2026-06-08 15:10:01.043691,2431.0,11,Healthy Idle
USER_0039,2026-06-12 15:10:01.040471,2421.0,7,Healthy Idle
USER_0950,2026-06-11 15:10:01.069556,2421.0,8,Healthy Idle
USER_0358,2026-06-16 15:10:01.050869,2416.0,3,Healthy Idle
USER_0616,2026-06-19 15:10:01.058538,2415.0,0,Healthy Idle
USER_0115,2026-06-19 15:10:01.042817,2413.0,0,Healthy Idle
USER_0932,2026-06-03 15:10:01.068889,2410.0,16,At-Risk
USER_0281,2026-06-18 15:10:01.048756,2409.0,1,Healthy Idle
USER_0520,2026-05-21 15:10:01.055695,2409.0,29,At-Risk
USER_0628,2026-05-27 15:10:01.058970,2408.0,23,At-Risk
USER_0677,2026-06-14 15:10:01.060250,2404.0,5,Healthy Idle
USER_0055,2026-06-11 15:10:01.041002,2401.0,8,Healthy Idle
USER_0495,2026-06-18 15:10:01.055099,2393.0,1,Healthy Idle
USER_0280,2026-06-12 15:10:01.048709,2392.0,7,Healthy Idle
USER_0320,2026-05-28 15:10:01.049990,2391.0,22,At-Risk
USER_0259,2026-06-03 15:10:01.048110,2387.0,16,At-Risk
USER_0343,2026-06-16 15:10:01.050465,2372.0,3,Healthy Idle
USER_0119,2026-06-04 15:10:01.042971,2368.0,15,At-Risk
USER_0769,2026-06-11 15:10:01.063767,2365.0,8,Healthy Idle
USER_0930,2026-06-19 15:10:01.068781,2363.0,0,Healthy Idle
USER_0846,2026-06-02 15:10:01.066180,2361.0,17,At-Risk
USER_0927,2026-06-12 15:10:01.068680,2359.0,7,Healthy Idle
USER_0875,2026-06-14 15:10:01.067066,2353.0,5,Healthy Idle
USER_0246,2026-06-02 15:10:01.047597,2351.0,17,At-Risk
USER_0647,2026-06-07 15:10:01.059413,2351.0,12,Healthy Idle
USER_0100,2026-06-06 15:10:01.042365,2349.0,13,Healthy Idle
USER_0480,2026-06-09 15:10:01.054612,2346.0,10,Healthy Idle
USER_0745,2026-06-18 15:10:01.063101,2344.0,1,Healthy Idle
USER_0248,2026-06-13 15:10:01.047686,2342.0,6,Healthy Idle
USER_0817,2026-06-17 15:10:01.065218,2342.0,2,Healthy Idle
USER_0678,2026-06-18 15:10:01.060305,2341.0,1,Healthy Idle
USER_0688,2026-06-18 15:10:01.060666,2340.0,1,Healthy Idle
USER_0306,2026-06-03 15:10:01.049627,2337.0,16,At-Risk
USER_0820,2026-06-18 15:10:01.065297,2333.0,1,Healthy Idle
USER_0907,2026-05-13 15:10:01.068149,2333.0,37,High-Risk Stagnant
USER_0244,2026-06-18 15:10:01.047556,2326.0,1,Healthy Idle
USER_0296,2026-06-06 15:10:01.049279,2326.0,13,Healthy Idle
USER_0517,2026-06-15 15:10:01.055601,2323.0,4,Healthy Idle
USER_0388,2026-06-12 15:10:01.051811,2322.0,7,Healthy Idle
USER_0191,2026-06-01 15:10:01.045681,2319.0,18,At-Risk
USER_0488,2026-06-14 15:10:01.054892,2316.0,5,Healthy Idle
USER_0830,2026-06-08 15:10:01.065692,2303.0,11,Healthy Idle
USER_0595,2026-06-06 15:10:01.057921,2298.0,13,Healthy Idle
USER_0194,2026-06-16 15:10:01.045742,2294.0,3,Healthy Idle
USER_0654,2026-06-19 15:10:01.059641,2294.0,0,Healthy Idle
USER_0892,2026-06-17 15:10:01.067701,2290.0,2,Healthy Idle
USER_0042,2026-06-19 15:10:01.040640,2289.0,0,Healthy Idle
USER_0657,2026-06-13 15:10:01.059704,2289.0,6,Healthy Idle
USER_0086,2026-06-19 15:10:01.041878,2285.0,0,Healthy Idle
USER_0969,2026-06-18 15:10:01.070276,2285.0,1,Healthy Idle
USER_0478,2026-06-13 15:10:01.054527,2266.0,6,Healthy Idle
USER_0377,2026-06-16 15:10:01.051469,2262.0,3,Healthy Idle
USER_0782,2026-05-15 15:10:01.064213,2248.0,35,High-Risk Stagnant
USER_0472,2026-06-15 15:10:01.054344,2247.0,4,Healthy Idle
USER_0934,2026-05-23 15:10:01.068962,2247.0,27,At-Risk
USER_0708,2026-06-11 15:10:01.061563,2240.0,8,Healthy Idle
USER_0821,2026-06-19 15:10:01.065357,2239.0,0,Healthy Idle
USER_0359,2026-06-12 15:10:01.050876,2229.0,7,Healthy Idle
USER_0356,2026-06-12 15:10:01.050756,2228.0,7,Healthy Idle
USER_0903,2026-06-09 15:10:01.068047,2228.0,10,Healthy Idle
USER_0105,2026-06-09 15:10:01.042551,2223.0,10,Healthy Idle
USER_0879,2026-06-17 15:10:01.067219,2219.0,2,Healthy Idle
USER_0207,2026-06-02 15:10:01.046262,2218.0,17,At-Risk
USER_0401,2026-05-26 15:10:01.052237,2211.0,24,At-Risk
USER_0946,2026-06-05 15:10:01.069347,2206.0,14,Healthy Idle
USER_0205,2026-06-07 15:10:01.046189,2202.0,12,Healthy Idle
USER_0815,2026-06-18 15:10:01.065124,2201.0,1,Healthy Idle
USER_0722,2026-06-12 15:10:01.062097,2197.0,7,Healthy Idle
USER_0189,2026-06-15 15:10:01.045611,2189.0,4,Healthy Idle
USER_0133,2026-06-12 15:10:01.043387,2187.0,7,Healthy Idle
USER_0378,2026-06-10 15:10:01.051529,2180.0,9,Healthy Idle
USER_0199,2026-06-05 15:10:01.045927,2179.0,14,Healthy Idle
USER_0526,2026-06-14 15:10:01.055892,2178.0,5,Healthy Idle
USER_0139,2026-06-16 15:10:01.043544,2164.0,3,Healthy Idle
USER_0910,2026-06-19 15:10:01.068218,2161.0,0,Healthy Idle
USER_0733,2026-06-02 15:10:01.062657,2157.0,17,At-Risk
USER_0973,2026-06-16 15:10:01.070455,2157.0,3,Healthy Idle
USER_0729,2026-06-08 15:10:01.062541,2150.0,11,Healthy Idle
USER_0216,2026-06-12 15:10:01.046688,2142.0,7,Healthy Idle
USER_0866,2026-05-27 15:10:01.066842,2141.0,23,At-Risk
USER_0362,2026-06-01 15:10:01.050963,2138.0,18,At-Risk
USER_0577,2026-05-09 15:10:01.057371,2134.0,41,High-Risk Stagnant
USER_0512,2026-06-16 15:10:01.055419,2132.0,3,Healthy Idle
USER_0108,2026-06-19 15:10:01.042659,2130.0,0,Healthy Idle
USER_0611,2026-06-02 15:10:01.058393,2128.0,17,At-Risk
USER_0608,2026-06-01 15:10:01.058273,2127.0,18,At-Risk
USER_0289,2026-06-09 15:10:01.049007,2125.0,10,Healthy Idle
USER_0694,2026-05-25 15:10:01.061045,2121.0,25,At-Risk
USER_0198,2026-06-08 15:10:01.045873,2119.0,11,Healthy Idle
USER_0834,2026-06-02 15:10:01.065838,2116.0,17,At-Risk
USER_0887,2026-06-12 15:10:01.067498,2116.0,7,Healthy Idle
USER_0468,2026-06-09 15:10:01.054277,2112.0,10,Healthy Idle
USER_0988,2026-06-13 15:10:01.070909,2109.0,6,Healthy Idle
USER_0528,2026-06-07 15:10:01.055977,2107.0,12,Healthy Idle
USER_0447,2026-06-17 15:10:01.053681,2103.0,2,Healthy Idle
USER_0568,2026-06-03 15:10:01.057107,2100.0,16,At-Risk
USER_0182,2026-06-18 15:10:01.045337,2098.0,1,Healthy Idle
USER_0961,2026-05-31 15:10:01.069941,2095.0,19,At-Risk
USER_0963,2026-05-29 15:10:01.070037,2089.0,21,At-Risk
USER_0439,2026-06-10 15:10:01.053459,2079.0,9,Healthy Idle
USER_0024,2026-06-19 15:10:01.040080,2073.0,0,Healthy Idle
USER_0044,2026-05-25 15:10:01.040676,2070.0,25,At-Risk
USER_0117,2026-06-17 15:10:01.042891,2067.0,2,Healthy Idle
USER_0406,2026-05-19 15:10:01.052438,2065.0,31,High-Risk Stagnant
USER_0479,2026-06-08 15:10:01.054593,2057.0,11,Healthy Idle
USER_0445,2026-06-17 15:10:01.053612,2054.0,2,Healthy Idle
USER_0140,2026-06-07 15:10:01.043585,2051.0,12,Healthy Idle
USER_0428,2026-06-14 15:10:01.053109,2051.0,5,Healthy Idle
USER_0570,2026-06-19 15:10:01.057169,2045.0,0,Healthy Idle
USER_0270,2026-06-06 15:10:01.048392,2041.0,13,Healthy Idle
USER_0632,2026-05-18 15:10:01.059081,2035.0,32,High-Risk Stagnant
USER_0715,2026-05-24 15:10:01.061880,2035.0,26,At-Risk
USER_0810,2026-06-01 15:10:01.065013,2033.0,18,At-Risk
USER_0431,2026-06-19 15:10:01.053217,2031.0,0,Healthy Idle
USER_0089,2026-06-03 15:10:01.041978,2029.0,16,At-Risk
USER_0562,2026-06-10 15:10:01.056951,2029.0,9,Healthy Idle
USER_0585,2026-06-19 15:10:01.057581,2029.0,0,Healthy Idle
USER_0699,2026-06-01 15:10:01.061212,2023.0,18,At-Risk
USER_0578,2026-06-09 15:10:01.057399,2020.0,10,Healthy Idle
USER_0146,2026-06-17 15:10:01.043819,2018.0,2,Healthy Idle
USER_0302,2026-06-19 15:10:01.049495,2017.0,0,Healthy Idle
USER_0374,2026-06-14 15:10:01.051357,2016.0,5,Healthy Idle
USER_0409,2026-06-04 15:10:01.052566,2016.0,15,At-Risk
USER_0794,2026-06-11 15:10:01.064575,2015.0,8,Healthy Idle
USER_0400,2026-06-17 15:10:01.052192,2014.0,2,Healthy Idle
USER_0798,2026-05-31 15:10:01.064727,2012.0,19,At-Risk
USER_0315,2026-06-17 15:10:01.049857,2010.0,2,Healthy Idle
USER_0623,2026-05-22 15:10:01.058778,2010.0,28,At-Risk
USER_0569,2026-06-15 15:10:01.057139,2003.0,4,Healthy Idle
USER_0743,2026-06-16 15:10:01.063029,1998.0,3,Healthy Idle
USER_0369,2026-06-07 15:10:01.051222,1990.0,12,Healthy Idle
USER_0872,2026-06-12 15:10:01.066988,1990.0,7,Healthy Idle
USER_0016,2026-06-18 15:10:01.039922,1980.0,1,Healthy Idle
USER_0062,2026-06-17 15:10:01.041224,1980.0,2,Healthy Idle
USER_0168,2026-06-09 15:10:01.044816,1980.0,10,Healthy Idle
USER_0855,2026-06-17 15:10:01.066448,1977.0,2,Healthy Idle
USER_0550,2026-05-20 15:10:01.056669,1968.0,30,At-Risk
USER_0807,2026-06-14 15:10:01.064926,1968.0,5,Healthy Idle
USER_0767,2026-06-12 15:10:01.063720,1958.0,7,Healthy Idle
USER_0915,2026-06-16 15:10:01.068382,1949.0,3,Healthy Idle
USER_0116,2026-06-19 15:10:01.042880,1948.0,0,Healthy Idle
USER_0181,2026-06-08 15:10:01.045264,1946.0,11,Healthy Idle
USER_0426,2026-05-11 15:10:01.053037,1944.0,39,High-Risk Stagnant
USER_0804,2026-06-04 15:10:01.064852,1942.0,15,At-Risk
USER_0912,2026-06-19 15:10:01.068312,1934.0,0,Healthy Idle
USER_0328,2026-06-14 15:10:01.050149,1931.0,5,Healthy Idle
USER_0237,2026-06-19 15:10:01.047333,1925.0,0,Healthy Idle
USER_0212,2026-06-18 15:10:01.046616,1924.0,1,Healthy Idle
USER_0964,2026-06-11 15:10:01.070084,1920.0,8,Healthy Idle
USER_0118,2026-06-12 15:10:01.042950,1917.0,7,Healthy Idle
USER_0847,2026-05-28 15:10:01.066198,1917.0,22,At-Risk
USER_0918,2026-06-14 15:10:01.068474,1914.0,5,Healthy Idle
USER_0175,2026-06-17 15:10:01.045019,1913.0,2,Healthy Idle
USER_0858,2026-06-14 15:10:01.066513,1913.0,5,Healthy Idle
USER_0310,2026-05-26 15:10:01.049723,1912.0,24,At-Risk
USER_0845,2026-05-24 15:10:01.066141,1909.0,26,At-Risk
USER_0085,2026-06-15 15:10:01.041812,1904.0,4,Healthy Idle
USER_0129,2026-05-31 15:10:01.043293,1903.0,19,At-Risk
USER_0724,2026-06-19 15:10:01.062246,1903.0,0,Healthy Idle
USER_0717,2026-05-23 15:10:01.061941,1902.0,27,At-Risk
USER_0983,2026-06-19 15:10:01.070754,1900.0,0,Healthy Idle
USER_0475,2026-06-07 15:10:01.054446,1899.0,12,Healthy Idle
USER_0640,2026-06-12 15:10:01.059223,1899.0,7,Healthy Idle
USER_0489,2026-06-17 15:10:01.054940,1893.0,2,Healthy Idle
USER_0153,2026-06-13 15:10:01.044060,1889.0,6,Healthy Idle
USER_0279,2026-06-17 15:10:01.048660,1888.0,2,Healthy Idle
USER_0415,2026-05-23 15:10:01.052721,1884.0,27,At-Risk
USER_0649,2026-06-13 15:10:01.059473,1881.0,6,Healthy Idle
USER_0732,2026-06-19 15:10:01.062625,1875.0,0,Healthy Idle
USER_0222,2026-06-18 15:10:01.046936,1870.0,1,Healthy Idle
USER_0977,2026-06-19 15:10:01.070607,1870.0,0,Healthy Idle
USER_0502,2026-06-09 15:10:01.055226,1868.0,10,Healthy Idle
USER_0165,2026-06-08 15:10:01.044569,1862.0,11,Healthy Idle
USER_0159,2026-06-06 15:10:01.044329,1856.0,13,Healthy Idle
USER_0003,2026-06-05 15:10:01.039418,1852.0,14,Healthy Idle
USER_0536,2026-06-10 15:10:01.056278,1847.0,9,Healthy Idle
USER_0692,2026-06-03 15:10:01.060886,1847.0,16,At-Risk
USER_0764,2026-06-18 15:10:01.063581,1847.0,1,Healthy Idle
USER_0045,2026-06-04 15:10:01.040715,1846.0,15,At-Risk
USER_0466,2026-05-27 15:10:01.054195,1844.0,23,At-Risk
USER_0346,2026-05-30 15:10:01.050551,1841.0,20,At-Risk
USER_0666,2026-06-07 15:10:01.059983,1833.0,12,Healthy Idle
USER_0176,2026-05-19 15:10:01.045077,1830.0,31,High-Risk Stagnant
USER_0143,2026-05-31 15:10:01.043740,1828.0,19,At-Risk
USER_0685,2026-06-10 15:10:01.060540,1828.0,9,Healthy Idle
USER_0255,2026-06-16 15:10:01.047947,1826.0,3,Healthy Idle
USER_0264,2026-05-27 15:10:01.048239,1825.0,23,At-Risk
USER_0822,2026-06-17 15:10:01.065407,1825.0,2,Healthy Idle
USER_0183,2026-06-19 15:10:01.045410,1824.0,0,Healthy Idle
USER_0096,2026-06-17 15:10:01.042201,1823.0,2,Healthy Idle
USER_0940,2026-06-06 15:10:01.069251,1816.0,13,Healthy Idle
USER_0508,2026-05-23 15:10:01.055326,1814.0,27,At-Risk
USER_0303,2026-06-14 15:10:01.049524,1811.0,5,Healthy Idle
USER_0560,2026-06-10 15:10:01.056885,1810.0,9,Healthy Idle
USER_0972,2026-06-03 15:10:01.070414,1808.0,16,At-Risk
USER_0101,2026-06-14 15:10:01.042419,1807.0,5,Healthy Idle
USER_0886,2026-06-05 15:10:01.067454,1807.0,14,Healthy Idle
USER_0622,2026-06-09 15:10:01.058716,1806.0,10,Healthy Idle
USER_0899,2026-06-08 15:10:01.067911,1805.0,11,Healthy Idle
USER_0234,2026-06-15 15:10:01.047225,1804.0,4,Healthy Idle
USER_0527,2026-06-05 15:10:01.055922,1803.0,14,Healthy Idle
USER_0948,2026-06-17 15:10:01.069453,1801.0,2,Healthy Idle
USER_0068,2026-06-12 15:10:01.041362,1797.0,7,Healthy Idle
USER_0651,2026-05-27 15:10:01.059544,1794.0,23,At-Risk
USER_0870,2026-06-07 15:10:01.066919,1794.0,12,Healthy Idle
USER_0098,2026-05-17 15:10:01.042286,1792.0,33,High-Risk Stagnant
USER_0413,2026-06-07 15:10:01.052650,1792.0,12,Healthy Idle
USER_0219,2026-06-06 15:10:01.046808,1791.0,13,Healthy Idle
USER_0539,2026-06-18 15:10:01.056376,1791.0,1,Healthy Idle
USER_0000,2026-06-05 15:10:01.039319,1788.0,14,Healthy Idle
USER_0172,2026-06-14 15:10:01.044961,1783.0,5,Healthy Idle
USER_0128,2026-06-18 15:10:01.043229,1776.0,1,Healthy Idle
USER_0230,2026-06-16 15:10:01.047133,1770.0,3,Healthy Idle
USER_0589,2026-06-19 15:10:01.057757,1768.0,0,Healthy Idle
USER_0218,2026-06-04 15:10:01.046801,1767.0,15,At-Risk
USER_0826,2026-06-06 15:10:01.065556,1761.0,13,Healthy Idle
USER_0876,2026-06-15 15:10:01.067133,1758.0,4,Healthy Idle
USER_0365,2026-06-09 15:10:01.051060,1757.0,10,Healthy Idle
USER_0970,2026-06-19 15:10:01.070305,1749.0,0,Healthy Idle
USER_0122,2026-06-11 15:10:01.043060,1745.0,8,Healthy Idle
USER_0971,2026-06-10 15:10:01.070347,1745.0,9,Healthy Idle
USER_0402,2026-06-11 15:10:01.052298,1739.0,8,Healthy Idle
USER_0755,2026-06-15 15:10:01.063325,1733.0,4,Healthy Idle
USER_0750,2026-05-17 15:10:01.063214,1732.0,33,High-Risk Stagnant
USER_0148,2026-06-15 15:10:01.043896,1724.0,4,Healthy Idle
USER_0661,2026-05-24 15:10:01.059804,1718.0,26,At-Risk
USER_0292,2026-06-06 15:10:01.049110,1716.0,13,Healthy Idle
USER_0291,2026-06-19 15:10:01.049056,1714.0,0,Healthy Idle
USER_0082,2026-06-16 15:10:01.041680,1706.0,3,Healthy Idle
USER_0295,2026-06-06 15:10:01.049191,1704.0,13,Healthy Idle
USER_0298,2026-06-09 15:10:01.049338,1704.0,10,Healthy Idle
USER_0396,2026-06-15 15:10:01.052050,1699.0,4,Healthy Idle
USER_0704,2026-06-07 15:10:01.061436,1696.0,12,Healthy Idle
USER_0345,2026-05-29 15:10:01.050528,1694.0,21,At-Risk
USER_0473,2026-06-16 15:10:01.054377,1693.0,3,Healthy Idle
USER_0099,2026-06-15 15:10:01.042330,1692.0,4,Healthy Idle
USER_0487,2026-06-04 15:10:01.054866,1685.0,15,At-Risk
USER_0725,2026-06-17 15:10:01.062323,1684.0,2,Healthy Idle
USER_0531,2026-06-02 15:10:01.056071,1680.0,17,At-Risk
USER_0301,2026-06-16 15:10:01.049450,1675.0,3,Healthy Idle
USER_0796,2026-06-07 15:10:01.064644,1674.0,12,Healthy Idle
USER_0865,2026-06-13 15:10:01.066787,1674.0,6,Healthy Idle
USER_0498,2026-06-05 15:10:01.055139,1673.0,14,Healthy Idle
USER_0989,2026-06-03 15:10:01.070940,1667.0,16,At-Risk
USER_0878,2026-05-18 15:10:01.067180,1664.0,32,High-Risk Stagnant
USER_0897,2026-04-24 15:10:01.067799,1657.0,56,High-Risk Stagnant
USER_0372,2026-06-17 15:10:01.051284,1648.0,2,Healthy Idle
USER_0665,2026-05-23 15:10:01.059957,1648.0,27,At-Risk
USER_0552,2026-06-09 15:10:01.056719,1639.0,10,Healthy Idle
USER_0030,2026-06-12 15:10:01.040281,1632.0,7,Healthy Idle
USER_0607,2026-06-06 15:10:01.058242,1631.0,13,Healthy Idle
USER_0691,2026-06-11 15:10:01.060765,1631.0,8,Healthy Idle
USER_0254,2026-06-16 15:10:01.047913,1628.0,3,Healthy Idle
USER_0524,2026-06-14 15:10:01.055824,1628.0,5,Healthy Idle
USER_0169,2026-06-09 15:10:01.044835,1626.0,10,Healthy Idle
USER_0525,2026-06-14 15:10:01.055861,1626.0,5,Healthy Idle
USER_0266,2026-06-10 15:10:01.048305,1620.0,9,Healthy Idle
USER_0643,2026-06-04 15:10:01.059305,1620.0,15,At-Risk
USER_0765,2026-06-10 15:10:01.063594,1619.0,9,Healthy Idle
USER_0271,2026-06-08 15:10:01.048443,1618.0,11,Healthy Idle
USER_0210,2026-06-01 15:10:01.046559,1616.0,18,At-Risk
USER_0947,2026-06-15 15:10:01.069419,1611.0,4,Healthy Idle
USER_0549,2026-06-11 15:10:01.056644,1608.0,8,Healthy Idle
USER_0242,2026-06-13 15:10:01.047466,1607.0,6,Healthy Idle
USER_0931,2026-05-31 15:10:01.068838,1605.0,19,At-Risk
USER_0975,2026-06-19 15:10:01.070558,1605.0,0,Healthy Idle
USER_0571,2026-06-19 15:10:01.057221,1604.0,0,Healthy Idle
USER_0679,2026-06-18 15:10:01.060365,1604.0,1,Healthy Idle
USER_0587,2026-06-02 15:10:01.057680,1599.0,17,At-Risk
USER_0619,2026-06-10 15:10:01.058620,1599.0,9,Healthy Idle
USER_0019,2026-06-19 15:10:01.039956,1598.0,0,Healthy Idle
USER_0321,2026-05-18 15:10:01.050008,1597.0,32,High-Risk Stagnant
USER_0414,2026-06-14 15:10:01.052714,1597.0,5,Healthy Idle
USER_0355,2026-06-04 15:10:01.050726,1593.0,15,At-Risk
USER_0368,2026-06-13 15:10:01.051181,1589.0,6,Healthy Idle
USER_0869,2026-06-08 15:10:01.066880,1588.0,11,Healthy Idle
USER_0613,2026-06-13 15:10:01.058435,1584.0,6,Healthy Idle
USER_0384,2026-05-10 15:10:01.051715,1577.0,40,High-Risk Stagnant
USER_0709,2026-06-05 15:10:01.061640,1574.0,14,Healthy Idle
USER_0641,2026-06-18 15:10:01.059277,1571.0,1,Healthy Idle
USER_0567,2026-06-15 15:10:01.057081,1568.0,4,Healthy Idle
USER_0434,2026-06-15 15:10:01.053313,1563.0,4,Healthy Idle
